Datum;Art;Wert [MW]
01.01.2030 00:00;Biomasse;9.000
01.01.2035 00:00;Biomasse;8.000
01.01.2030 00:00;Braunkohle;8.000
01.01.2035 00:00;Braunkohle;2.000
01.01.2030 00:00;Erdgas;40.000
01.01.2035 00:00;Erdgas;38.000
01.01.2030 00:00;Kernenergie;0
01.01.2035 00:00;Kernenergie;0
01.01.2030 00:00;Photovoltaik;215.000
01.01.2035 00:00;Photovoltaik;260.000
01.01.2030 00:00;Pumpspeicher;11.000
01.01.2035 00:00;Pumpspeicher;13.000
01.01.2030 00:00;Sonstige Erneuerbare;3.000
01.01.2035 00:00;Sonstige Erneuerbare;5.000
01.01.2030 00:00;Sonstige Konventionelle;3.500
01.01.2035 00:00;Sonstige Konventionelle;3.000
01.01.2030 00:00;Steinkohle;3.000
01.01.2035 00:00;Steinkohle;0
01.01.2030 00:00;Wasserkraft;5.800
01.01.2035 00:00;Wasserkraft;6.000
01.01.2030 00:00;Wind Offshore;25.000
01.01.2035 00:00;Wind Offshore;40.000
01.01.2030 00:00;Wind Onshore;85.000
01.01.2035 00:00;Wind Onshore;100.000
