Datum,ErzeugerArt,Installiert
2026-01-01,Photovoltaik,130000
2030-01-01,Photovoltaik,215000
2035-01-01,Photovoltaik,260000
2026-01-01,Wind Onshore,70000
2030-01-01,Wind Onshore,85000
2035-01-01,Wind Onshore,100000
2026-01-01,Wind Offshore,11000
2030-01-01,Wind Offshore,25000
2035-01-01,Wind Offshore,40000
2026-01-01,Wasserkraft,5600
2030-01-01,Wasserkraft,5800
2035-01-01,Wasserkraft,6000
2026-01-01,Biomasse,9500
2030-01-01,Biomasse,9000
2035-01-01,Biomasse,8000
2026-01-01,Pumpspeicher,10000
2030-01-01,Pumpspeicher,11000
2035-01-01,Pumpspeicher,13000
2026-01-01,Sonstige Erneuerbare,1500
2030-01-01,Sonstige Erneuerbare,3000
2035-01-01,Sonstige Erneuerbare,5000
2026-01-01,Erdgas,36000
2030-01-01,Erdgas,40000
2035-01-01,Erdgas,38000
2026-01-01,Steinkohle,12000
2030-01-01,Steinkohle,3000
2035-01-01,Steinkohle,0
2026-01-01,Braunkohle,13000
2030-01-01,Braunkohle,8000
2035-01-01,Braunkohle,2000
2026-01-01,Kernenergie,0
2030-01-01,Kernenergie,0
2035-01-01,Kernenergie,0
2026-01-01,Sonstige Konventionelle,4000
2030-01-01,Sonstige Konventionelle,3500
2035-01-01,Sonstige Konventionelle,3000
